納入申告書_特例申告（定額）,,,,,,,,
"「必須」欄の凡例
○：必須項目　　　　　　　必ず値を設定してください。
△：条件付き必須項目　　　他の項目の設定内容により設定が必須となります。条件について、各項目の「備考」欄を参照してください。
－：入力不要項目　　　　　システムが自動で設定する項目のため、値を設定しない。項目区切りを表す"",""(カンマ)は必要ですのでご注意ください。
空白：任意入力項目　　　　設定は任意です。値を設定しない場合でも、項目区切りを表す"",""(カンマ)が必要ですのでご注意ください。
52,納入税額－行為年月１－申告区分６【宿泊数】,,,,数字,8,,
53,納入税額－行為年月１－申告区分６【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
54,納入税額－行為年月１【申告区分７】,,,,全角,50,,
55,納入税額－行為年月１－申告区分７【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
56,納入税額－行為年月１－申告区分７【宿泊数】,,,,数字,8,,
57,納入税額－行為年月１－申告区分７【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
58,納入税額－行為年月１【申告区分８】,,,,全角,50,,
59,納入税額－行為年月１－申告区分８【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
60,納入税額－行為年月１－申告区分８【宿泊数】,,,,数字,8,,
61,納入税額－行為年月１－申告区分８【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
62,納入税額－行為年月１【申告区分９】,,,,全角,50,,
63,納入税額－行為年月１－申告区分９【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
64,納入税額－行為年月１－申告区分９【宿泊数】,,,,数字,8,,
65,納入税額－行為年月１－申告区分９【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
66,納入税額－行為年月１【申告区分１０】,,,,全角,50,,
67,納入税額－行為年月１－申告区分１０【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
68,納入税額－行為年月１－申告区分１０【宿泊数】,,,,数字,8,,
69,納入税額－行為年月１－申告区分１０【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
70,納入税額－行為年月１－課税対象宿泊合計【宿泊数】,,○,,数字,9,,
71,納入税額－行為年月１－課税対象宿泊合計【税額】,,○,,数字,14,,
72,納入税額－行為年月１－課税免除【宿泊数】,,○,,数字,9,,
73,納入税額－行為年月１－合計【宿泊数】,,○,,数字,10,,
74,納入税額－行為年月１－合計【税額】,,○,,数字,14,,
75,納入税額－行為年月２,行為年月を西暦6桁の年月で記録する。,○,,数字,6,,
76,納入税額－行為年月２【申告区分１】,,○,,全角,50,,
77,納入税額－行為年月２－申告区分１【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
78,納入税額－行為年月２－申告区分１【宿泊数】,,,,数字,8,,
79,納入税額－行為年月２－申告区分１【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
80,納入税額－行為年月２【申告区分２】,,,,全角,50,,
81,納入税額－行為年月２－申告区分２【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
82,納入税額－行為年月２－申告区分２【宿泊数】,,,,数字,8,,
83,納入税額－行為年月２－申告区分２【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
84,納入税額－行為年月２【申告区分３】,,,,全角,50,,
85,納入税額－行為年月２－申告区分３【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
86,納入税額－行為年月２－申告区分３【宿泊数】,,,,数字,8,,
87,納入税額－行為年月２－申告区分３【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
88,納入税額－行為年月２【申告区分４】,,,,全角,50,,
89,納入税額－行為年月２－申告区分４【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
90,納入税額－行為年月２－申告区分４【宿泊数】,,,,数字,8,,
91,納入税額－行為年月２－申告区分４【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
92,納入税額－行為年月２【申告区分５】,,,,全角,50,,
93,納入税額－行為年月２－申告区分５【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
94,納入税額－行為年月２－申告区分５【宿泊数】,,,,数字,8,,
95,納入税額－行為年月２－申告区分５【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
96,納入税額－行為年月２【申告区分６】,,,,全角,50,,
97,納入税額－行為年月２－申告区分６【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
98,納入税額－行為年月２－申告区分６【宿泊数】,,,,数字,8,,
99,納入税額－行為年月２－申告区分６【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
100,納入税額－行為年月２【申告区分７】,,,,全角,50,,
101,納入税額－行為年月２－申告区分７【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
102,納入税額－行為年月２－申告区分７【宿泊数】,,,,数字,8,,
103,納入税額－行為年月２－申告区分７【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
104,納入税額－行為年月２【申告区分８】,,,,全角,50,,
105,納入税額－行為年月２－申告区分８【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
106,納入税額－行為年月２－申告区分８【宿泊数】,,,,数字,8,,
107,納入税額－行為年月２－申告区分８【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
108,納入税額－行為年月２【申告区分９】,,,,全角,50,,
109,納入税額－行為年月２－申告区分９【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
110,納入税額－行為年月２－申告区分９【宿泊数】,,,,数字,8,,
111,納入税額－行為年月２－申告区分９【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
112,納入税額－行為年月２【申告区分１０】,,,,全角,50,,
113,納入税額－行為年月２－申告区分１０【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
114,納入税額－行為年月２－申告区分１０【宿泊数】,,,,数字,8,,
115,納入税額－行為年月２－申告区分１０【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
116,納入税額－行為年月２－課税対象宿泊合計【宿泊数】,,○,,数字,9,,
117,納入税額－行為年月２－課税対象宿泊合計【税額】,,○,,数字,14,,
118,納入税額－行為年月２－課税免除【宿泊数】,,○,,数字,9,,
119,納入税額－行為年月２－合計【宿泊数】,,○,,数字,10,,
120,納入税額－行為年月２－合計【税額】,,○,,数字,14,,
121,納入税額－行為年月３,行為年月を西暦6桁の年月で記録する。,○,,数字,6,,
122,納入税額－行為年月３【申告区分１】,,○,,全角,50,,
123,納入税額－行為年月３－申告区分１【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
124,納入税額－行為年月３－申告区分１【宿泊数】,,,,数字,8,,
125,納入税額－行為年月３－申告区分１【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
126,納入税額－行為年月３【申告区分２】,,,,全角,50,,
127,納入税額－行為年月３－申告区分２【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
128,納入税額－行為年月３－申告区分２【宿泊数】,,,,数字,8,,
129,納入税額－行為年月３－申告区分２【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
130,納入税額－行為年月３【申告区分３】,,,,全角,50,,
131,納入税額－行為年月３－申告区分３【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
132,納入税額－行為年月３－申告区分３【宿泊数】,,,,数字,8,,
133,納入税額－行為年月３－申告区分３【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
134,納入税額－行為年月３【申告区分４】,,,,全角,50,,
135,納入税額－行為年月３－申告区分４【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
136,納入税額－行為年月３－申告区分４【宿泊数】,,,,数字,8,,
137,納入税額－行為年月３－申告区分４【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
138,納入税額－行為年月３【申告区分５】,,,,全角,50,,
139,納入税額－行為年月３－申告区分５【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
140,納入税額－行為年月３－申告区分５【宿泊数】,,,,数字,8,,
141,納入税額－行為年月３－申告区分５【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
142,納入税額－行為年月３【申告区分６】,,,,全角,50,,
143,納入税額－行為年月３－申告区分６【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
144,納入税額－行為年月３－申告区分６【宿泊数】,,,,数字,8,,
145,納入税額－行為年月３－申告区分６【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
146,納入税額－行為年月３【申告区分７】,,,,全角,50,,
147,納入税額－行為年月３－申告区分７【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
148,納入税額－行為年月３－申告区分７【宿泊数】,,,,数字,8,,
149,納入税額－行為年月３－申告区分７【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
150,納入税額－行為年月３【申告区分８】,,,,全角,50,,
151,納入税額－行為年月３－申告区分８【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
152,納入税額－行為年月３－申告区分８【宿泊数】,,,,数字,8,,
153,納入税額－行為年月３－申告区分８【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
154,納入税額－行為年月３【申告区分９】,,,,全角,50,,
155,納入税額－行為年月３－申告区分９【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
156,納入税額－行為年月３－申告区分９【宿泊数】,,,,数字,8,,
157,納入税額－行為年月３－申告区分９【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
158,納入税額－行為年月３【申告区分１０】,,,,全角,50,,
159,納入税額－行為年月３－申告区分１０【税率】,"1,200円の場合、1200と設定する。",,,数字,12,,各地方団体が設定した税率を記録する。
160,納入税額－行為年月３－申告区分１０【宿泊数】,,,,数字,8,,
161,納入税額－行為年月３－申告区分１０【税額】,,,,数字,13,,"宿泊数×税率の計算結果を記録する。
小数点以下は切り捨てする。"
162,納入税額－行為年月３－課税対象宿泊合計【宿泊数】,,○,,数字,9,,
163,納入税額－行為年月３－課税対象宿泊合計【税額】,,○,,数字,14,,
164,納入税額－行為年月３－課税免除【宿泊数】,,○,,数字,9,,
165,納入税額－行為年月３－合計【宿泊数】,,○,,数字,10,,
166,納入税額－行為年月３－合計【税額】,,○,,数字,14,,
167,備考,,,,全角,200,,
